Name,Price,SellDate,Date,Condition,Mileage,Origin,Body Type,Engine Type,Color,Color inside,Seats,Doors,City
Xe Mercedes Benz Maybach S450 4Matic 2020 - 4 Ty 550 Trieu,4 Ty 550 Trieu,4/11/2024,2020,Xe da dung,"52,000 Km",Nhap khau,Sedan,Xang 3.0 L,Trang,Kem,5 cho,4 cua,Ha Noi
Xe Lexus RX 350L 2021 - 3 Ty 689 Trieu,3 Ty 689 Trieu,4/11/2024,2021,Xe da dung,"54,000 Km",Nhap khau,SUV,Xang 3.5 L,Den,Nau,7 cho,5 cua,Ha Noi
Xe Mercedes Benz C class C200 2019 - 899 Trieu,899 Trieu,4/11/2024,2019,Xe da dung,"45,000 Km",Lap rap trong nuoc,Sedan,Xang 1.5 L,Trang,Den,5 cho,4 cua,Ha Noi
Xe Mercedes Benz E class E200 Exclusive 2020 - 1 Ty 379 Trieu,1 Ty 379 Trieu,4/11/2024,2020,Xe da dung,"69,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Trang,Nau,5 cho,4 cua,Ha Noi
Xe Porsche Panamera 3.0 V6 2021 - 5 Ty 199 Trieu,5 Ty 199 Trieu,4/11/2024,2021,Xe da dung,"18,000 Km",Nhap khau,Sedan,Xang 3.0 L,Vang,Den,4 cho,4 cua,Ha Noi
Xe Ford Ranger XLS 2.2L 4x2 AT 2019 - 515 Trieu,515 Trieu,4/11/2024,2019,Xe da dung,"76,000 Km",Nhap khau,Ban tai / Pickup,Dau 2.2 L,Xanh,Den,5 cho,4 cua,Ha Noi
Xe Toyota Land Cruiser VX 4.6 V8 2016 - 2 Ty 990 Trieu,2 Ty 990 Trieu,4/11/2024,2016,Xe da dung,"11,000 Km",Nhap khau,SUV,Xang 4.6 L,Den,Kem,8 cho,5 cua,Ha Noi
Xe Ford Mustang EcoBoost Fastback 2018 - 1 Ty 869 Trieu,1 Ty 869 Trieu,4/11/2024,2018,Xe da dung,"41,600 Km",Nhap khau,Coupe,Xang 2.3 L,Xanh,Den,4 cho,2 cua,Ha Noi
Xe Mercedes Benz GLC 200 4Matic 2023 - 2 Ty 89 Trieu,2 Ty 89 Trieu,4/11/2024,2023,Xe da dung,"18,000 Km",Lap rap trong nuoc,SUV,Xang 2.0 L,Trang,Nau,5 cho,5 cua,Ha Noi
Xe VinFast Lux A 2.0 Premium 2.0 AT 2019 - 590 Trieu,590 Trieu,4/11/2024,2019,Xe da dung,"78,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Bac,Nau,5 cho,4 cua,Ha Noi
